bookId,title,series,author,genres,characters,pages,publisher,firstPublishDate,awards
4671.The_Great_Gatsby,The Great Gatsby,nan,F. Scott Fitzgerald,"['Classics', 'Fiction', 'School', 'Literature', 'Historical Fiction', 'Romance', 'Novels', 'Read For School', 'High School', 'American']","['Nick Carraway', 'Jay Gatsby', 'Daisy Buchanan', 'Tom Buchanan', 'Jordan Baker', 'Myrtle Wilson', 'Meyer Wolfsheim', 'George Wilson']",200,Scribner,04/10/25,['Grammy Award Nominee for Best Spoken Word Album (2003)']
375802.Ender_s_Game,Ender's Game,Ender's Saga,Orson Scott Card,"['Science Fiction', 'Fiction', 'Young Adult', 'Fantasy', 'Classics', 'Science Fiction Fantasy', 'Dystopia', 'War', 'Audiobook', 'Adventure']","['Dink', 'Bernard', 'Valentine Wiggin', 'Peter Wiggin', 'Mazer Rackham', 'Alai', 'Hyrum Graff', 'Andrew Wiggin', 'Petra Arkanian', '""Bean""', 'Major Anderson', 'Bonzo', 'Major Imbu']",324,Macmillan Audio,10/28/85,"['Hugo Award for Best Novel (1986)', 'Nebula Award for Best Novel (1985)', 'Nébula (1985)', 'Margaret A. Edwards Award (2008)']"
3.Harry_Potter_and_the_Sorcerer_s_Stone,Harry Potter and the Sorcerer's Stone,Harry Potter,J.K. Rowling,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Adventure', 'Classics', 'Audiobook', 'Science Fiction Fantasy']","['Draco Malfoy', 'Ron Weasley', 'Petunia Dursley', 'Vernon Dursley', 'Dudley Dursley', 'Severus Snape', 'Quirinus Quirrell', 'Rubeus Hagrid', 'Lord Voldemort', 'Minerva McGonagall', 'Neville Longbottom', 'Fred Weasley', 'George Weasley', 'Percy Weasley', 'Filius Flitwick', 'Pomona Sprout', 'Molly Weasley', 'Poppy Pomfrey', 'Oliver Wood', 'Parvati Patil', 'Dean Thomas', 'James Potter', 'Lily Potter', 'Seamus Finnigan', 'Garrick Ollivander', 'Rolanda Hooch', 'Katie Bell', 'Albus Dumbledore', 'Dedalus Diggle', 'Harry Potter', 'Hermione Granger', 'Lavender Brown']",309,Scholastic Inc,06/26/97,"[""Mythopoeic Fantasy Award for Children's Literature (2008)"", ""British Book Award for Children's Book of the Year (1998)"", 'Prijs van de Nederlandse Kinderjury for 6-9 jaar en 10-12 jaar (2002)', 'American Booksellers Book Of The Year  Award for Children (1999)', 'Audie Award (2000)', ""West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (2000)"", 'South Carolina Book Award for Junior Book Award (2001)', 'Grand Canyon Reader Award for Teen Book (2000)', 'Charlotte Award (2000)', 'Nene Award (2000)', ""Massachusetts Children's Book Award (2000)"", 'Colorado Blue Spruce Young Adult Book Award (2001)', 'Blue Hen Book Award for Chapter Book (2001)', ""Nevada Young Readers' Award for Young Reader Category (2000)"", 'Golden Archer Award for Middle/Junior High (2000)', 'Indian Paintbrush Book Award (2000)', 'Hotze de Roosprijs (2002)', 'Nestlé Smarties Book Prize for 9–11 years (1997)', 'Eliot Rosewater Indiana High School Book Award (2001)', 'Kinderboekwinkelprijs (1999)', 'Parenting Book of the Year Award (1998)', 'North East Teenage Book Award (1999)', ""Specsavers National Book Award for Children's Book of the Year (1998)"", 'Washington State Sasquatch Award (2000)', 'Literaturpreis der Jury der jungen Leser for Kinderbuch (1999)', 'Carnegie Medal Nominee (1997)', ""Rebecca Caudill Young Readers' Book Award (2001)"", 'Premi Protagonista Jove for Categoria 12-13 anys (2000)']"
157993.The_Little_Prince,The Little Prince,nan,Antoine de Saint-Exupéry,"['Classics', 'Fiction', 'Fantasy', 'Childrens', 'France', 'Young Adult', 'Philosophy', 'Literature', 'French Literature', 'Middle Grade']","['Le Petit Prince', 'La rose', 'Le renard']",93,"Harcourt, Inc.",04/06/43,['Retro Hugo Award for Best Novella (2019)']
24178.Charlotte_s_Web,Charlotte's Web,nan,E.B. White,"['Classics', 'Childrens', 'Fiction', 'Young Adult', 'Fantasy', 'Animals', 'Middle Grade', 'Juvenile', 'School', 'Chapter Books']","['Fern', 'Avery', 'Charlotte', 'Wilbur', 'Templeton']",184,HarperCollinsPublishers,10/15/52,"['Newbery Medal Nominee (1953)', ""George C. Stone Center for Children's Books Recognition of Merit Award (1970)"", 'Audie Award Nominee for Audiobook of the Year and Middle Grade (2020)', ""Massachusetts Children's Book Award (1984)"", 'Laura Ingalls Wilder Award (1970)']"
890.Of_Mice_and_Men,Of Mice and Men,nan,John Steinbeck,"['Classics', 'Fiction', 'School', 'Historical Fiction', 'Literature', 'Read For School', 'Novels', 'High School', 'American', 'Classic Literature']","['George Milton', 'Lennie Small', 'Candy', 'Curley', ""Curley's Wife"", 'Slim', 'Crooks', 'Whit', 'Carlson']",103,Penguin Books,10/28/37,"[""New York Drama Critics' Circle Award for Best American Play (1938)""]"
18619684-the-time-traveler-s-wife,The Time Traveler's Wife,nan,Audrey Niffenegger,"['Fiction', 'Romance', 'Fantasy', 'Time Travel', 'Science Fiction', 'Contemporary', 'Adult', 'Chick Lit', 'Adult Fiction', 'Magical Realism']","['Henry DeTamble', 'Clare Abshire', 'Gomez', 'Charisse', 'Richard DeTamble', 'Alicia Abshire', 'Mark Abshire', 'Philip Abshire', 'Lucille Abshire', 'Mrs. Kim', 'Alba DeTamble', 'Ingrid Carmichael', 'Celia Attley', 'Dr. David Kendrick']",500,Zola Books,07/05/03,"['Arthur C. Clarke Award Nominee (2005)', 'Orange Prize Nominee for Fiction Longlist (2004)', 'British Book Award (2006)', 'John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (2005)', 'Exclusive Books Boeke Prize (2005)', 'ALA Alex Award (2004)']"
320.One_Hundred_Years_of_Solitude,One Hundred Years of Solitude,nan,Gabriel García Márquez,"['Fiction', 'Classics', 'Magical Realism', 'Literature', 'Novels', 'Fantasy', 'Historical Fiction', 'Spanish Literature', 'Literary Fiction', 'Latin American']","['Úrsula Iguarán', 'Remedios Moscote', 'Remedios, la bella', 'Fernanda del Carpio', 'Aureliano Buendía', 'José Arcadio Buendía', 'Amaranta Buendía', 'Amaranta Úrsula Buendía', 'Aureliano Babilonia', 'José Arcadio Segundo', 'Aureliano Segundo', 'Aureliano José', 'Pilar Ternera', 'Rebeca Buendía', 'Santa Sofía de la Piedad', 'Arcadio Buendía', 'José Arcadio Buendía, hijo', 'Meme Buendía', 'Petra Cotes', 'Pietro Crespi', 'Melquiades']",417,Harper,10/28/67,"['Premio Internacional de Novela Rómulo Gallegos (1972)', 'Prix du Meilleur Livre Étranger for Roman (1969)']"
5107.The_Catcher_in_the_Rye,The Catcher in the Rye,nan,J.D. Salinger,"['Classics', 'Fiction', 'Young Adult', 'Literature', 'School', 'Novels', 'Coming Of Age', 'American', 'High School', 'Read For School']","['Holden Caulfield', 'Robert Ackley', 'Stradlater', 'Phoebe Caulfield', 'Allie Caulfield', 'D.B Caulfield', 'Sally Hayes', 'Holden Caufield', 'Robert Ackley', 'Stradlater', 'Phoebe Caulfield', 'Allie Caulfield', 'D.B Caulfield', 'Sally Hayes']",277,Back Bay Books,07/16/51,"['Teen Read Award Nominee for Best All-Time-Fave (2010)', 'National Book Award Finalist for Fiction (1952)']"
28187.The_Lightning_Thief,The Lightning Thief,Percy Jackson and the Olympians,Rick Riordan,"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Childrens', 'Urban Fantasy', 'Greek Mythology', 'Magic']","['Annabeth Chase', 'Grover Underwood', 'Luke Castellan', 'Zeus (God)', 'Dionysus (mythology)', 'Ares (god)', 'Hades', 'Poseidon (God)', 'Chiron', 'Percy Jackson']",375,Disney Hyperion Books,06/28/05,"[""Young Readers' Choice Award (2008)"", 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2011)', 'South Carolina Book Award for Junior Book Award (2008)', 'Grand Canyon Reader Award for Tween Book (2008)', 'Nene Award (2008)', ""Massachusetts Children's Book Award (2008)"", ""Pennsylvania Young Readers' Choice Award for Grades 6-8 (2008)"", 'Rhode Island Teen Book Award Nominee (2007)', 'Sunshine State Young Readers Award for Grades 6-8 (2007)', ""Pacific Northwest Library Association Young Reader's Choice Award for Intermediate (2008)"", 'Iowa Teen Award (2009)', 'Lincoln Award Nominee (2009)', 'Oklahoma Sequoyah Award for YA (2008)', ""Rebecca Caudill Young Readers' Book Award (2009)""]"
2998.The_Secret_Garden,The Secret Garden,nan,Frances Hodgson Burnett,"['Classics', 'Fiction', 'Childrens', 'Young Adult', 'Historical Fiction', 'Middle Grade', 'Literature', 'Fantasy', 'Historical', 'Audiobook']","['Mary Lennox', 'Colin Craven', 'Dickon Sowerby', 'Martha Sowerby', 'Ben Weatherstaff', 'Archibald Craven', 'Susan Sowerby', 'Mrs. Medlock', 'Dr. Craven']",331,Children's Classics,10/28/10,['Lewis Carroll Shelf Award (1958)']
128029.A_Thousand_Splendid_Suns,A Thousand Splendid Suns,nan,Khaled Hosseini,"['Fiction', 'Historical Fiction', 'Contemporary', 'Novels', 'Historical', 'War', 'Adult Fiction', 'Adult', 'Drama', 'Literature']","['Laila', 'Mariam', 'Rasheed', 'Tariq']",372,Riverhead Books,05/22/07,"['British Book Award for Best Read of the Year (2008)', 'Book Sense Book of the Year Award for Adult Fiction (2008)', 'California Book Award for Fiction (Silver) (2007)', 'Exclusive Books Boeke Prize Nominee (2007)', 'Lincoln Award Nominee (2011)']"
33574273-a-wrinkle-in-time,A Wrinkle in Time,Time Quintet,Madeleine L'Engle,"['Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Science Fiction', 'Childrens', 'Middle Grade', 'Time Travel', 'Adventure', 'Science Fiction Fantasy']","['Meg Murry', 'Charles Wallace Murry', ""Calvin O'Keefe"", 'Dr. Kate Murry', 'Sandy Murry', 'Dennys Murry', 'Mrs. Whatsit', 'Mrs. Who', 'Mrs. Which']",218,Square Fish,10/28/62,"['Newbery Medal (1963)', ""Dorothy Canfield Fisher Children's Book Award Nominee (1964)"", 'Oklahoma Sequoyah Award (1965)', 'Margaret A. Edwards Award (1998)']"
13496.A_Game_of_Thrones,A Game of Thrones,A Song of Ice and Fire,George R.R. Martin,"['Fantasy', 'Fiction', 'Epic Fantasy', 'Adult', 'Science Fiction Fantasy', 'High Fantasy', 'Adventure', 'Dragons', 'Audiobook', 'Epic']","['Brandon Stark', 'Catelyn Stark', 'Tyrion Lannister', 'Daenerys Targaryen', 'Eddard Stark', 'Theon Greyjoy', 'Robb Stark', 'Arya Stark', 'Jaime Lannister', 'Joffrey Baratheon', 'Robert Baratheon', 'Tywin Lannister', 'Lysa Arryn', 'Petyr Baelish', 'Sansa Stark', 'Viserys Targaryen', 'Varys', 'Hodor', 'Beric Dondarrion', 'Thoros of Myr', 'Sandor Clegane', 'Samwell Tarly', 'Pyp', 'Tommen Baratheon', 'Stannis Baratheon', 'Grenn', 'Mace Tyrell', 'Septa Mordane', 'Jon Snow', 'Cersei Lannister', 'Jorah Mormont']",835,Bantam,08/06/96,"['Nebula Award Nominee for Best Novel (1997)', 'Locus Award for Best Fantasy Novel (1997)', 'World Fantasy Award Nominee for Best Novel (1997)', 'Premio Ignotus for Novela extranjera (2003)']"
12232938-the-lovely-bones,The Lovely Bones,nan,Alice Sebold,"['Fiction', 'Mystery', 'Young Adult', 'Contemporary', 'Fantasy', 'Crime', 'Adult', 'Adult Fiction', 'Drama', 'Novels']","['Susie Salmon', 'Clarissa', 'Holly', 'Jack Salmon', 'Abigail Salmon', 'Lindsey Salmon', 'Buckley Salmon', 'George Harvey']",372,"Little, Brown and Company",07/03/02,"['Bram Stoker Award for Best First Novel (2002)', 'Orange Prize Nominee for Fiction Longlist (2003)', 'British Book Award for Best Read of the Year (2004)', 'Book Sense Book of the Year Award for Adult Fiction (2003)', 'California Book Award for First Fiction (Silver) (2002)', 'South Carolina Book Award for Young Adult Book Award (2005)', 'Chicago Tribune Heartland Prize for Fiction (2002)', 'Iowa High School Book Award (2005)', 'Puddly Award for Fiction (2003)', 'Eliot Rosewater Indiana High School Book Award (2005)', 'Lincoln Award Nominee (2005)', 'Missouri Gateway Readers Award (2005)']"
231804.The_Outsiders,The Outsiders,nan,S.E. Hinton,"['Classics', 'Young Adult', 'Fiction', 'School', 'Realistic Fiction', 'Read For School', 'Coming Of Age', 'Historical Fiction', 'Contemporary', 'Teen']","['Ponyboy Curtis', 'Sodapop Curtis', 'Darrel ""Darry"" Curtis', 'Dallas ""Dally"" Winston', 'Johnny Cade', 'Keith ""Two-Bit"" Matthews', 'Steve Randle', 'Sherri ""Cherry"" Valance', 'Curly Shepard', 'Tim Shepard']",192,Puffin Books (US/CAN),04/24/67,"['Books I Loved Best Yearly (BILBY) Awards for Secondary  (1991)', 'Margaret A. Edwards Award (1988)']"
19543.Where_the_Wild_Things_Are,Where the Wild Things Are,nan,Maurice Sendak,"['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Fantasy', 'Adventure', 'Young Adult', 'Animals', 'Kids', 'Monsters']",['Max Cannon'],37,Red Fox,04/19/63,"['Caldecott Medal (1964)', 'Lewis Carroll Shelf Award', 'Indies Choice Book Award for Picture Book Hall of Fame (2009)']"
4214.Life_of_Pi,Life of Pi,nan,Yann Martel,"['Fiction', 'Fantasy', 'Classics', 'Adventure', 'Contemporary', 'Novels', 'Literature', 'Magical Realism', 'India', 'Philosophy']","['Pi Patel', 'Richard Parker']",460,Seal Books,09/11/01,"['Booker Prize (2002)', 'Bollinger Everyman Wodehouse Prize Nominee for Comic Fiction (2003)', 'Exclusive Books Boeke Prize (2003)', ""Governor General's Literary Awards / Prix littéraires du Gouverneur général Nominee for Fiction (2001)"", 'Lincoln Award Nominee (2005)', 'Deutscher Bücherpreis for Belletristik (2004)', 'CBC Canada Reads Nominee (2003)', 'Luisterboek Award Nominee (2015)', ""QWF (Quebec Writer's Federation) Award for Paragraphe Hugh MacLennan Prize for Fiction (2001)"", 'Asian/Pacific American Award for Literature for Adult Fiction (2003)']"
43641.Water_for_Elephants,Water for Elephants,nan,Sara Gruen,"['Fiction', 'Historical Fiction', 'Romance', 'Historical', 'Adult', 'Adult Fiction', 'Contemporary', 'Book Club', 'Novels', 'Animals']","['Jacob Jankowski', 'August (Water for Elephants)', 'Rosie Noah', 'Camel', 'Uncle Al', 'Kinko/Walter', ""Marlena L'Arche"", 'Rosemary (Water for Elephants)']",335,Algonquin Books,05/28/06,"['Book Sense Book of the Year Award for Adult Fiction (2007)', 'ALA Alex Award (2007)', 'The Quill Award Nominee for General Fiction (2006)', 'LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)']"
7604.Lolita,Lolita,nan,Vladimir Nabokov,"['Classics', 'Fiction', 'Literature', 'Novels', 'Russia', 'Romance', 'Russian Literature', 'Literary Fiction', '20th Century', 'Adult']","['Humbert Humbert', 'Dolores “Lolita” Haze', 'Charlotte Haze', 'Clare Quilty']",331,Penguin,09/28/55,['National Book Award Finalist for Fiction (1959)']
4981.Slaughterhouse_Five,Slaughterhouse-Five,nan,Kurt Vonnegut Jr.,"['Classics', 'Fiction', 'Science Fiction', 'War', 'Historical Fiction', 'Literature', 'Novels', 'Time Travel', 'American', 'Fantasy']","['Billy Pilgrim', 'Kilgore Trout', 'Eliot Rosewater', 'Roland Weary', 'Paul Lazzaro', 'Edgar Derby', 'Robert Pilgrim', 'Valencia Merble', 'Barbara Pilgrim', 'Howard W. Campbell Jr.', 'Montana Wildhack', 'Bertam Copeland Rumfoord']",275,Dial Press,10/28/69,"['Hugo Award Nominee for Best SF Novel (1970)', 'Nebula Award Nominee for Best Novel (1969)', 'National Book Award Finalist for Fiction (1970)', ""Chicago Publishers' Award (1970)""]"
77203.The_Kite_Runner,The Kite Runner,nan,Khaled Hosseini,"['Fiction', 'Historical Fiction', 'Contemporary', 'Classics', 'Novels', 'Historical', 'Literature', 'Adult', 'Adult Fiction', 'Drama']","['Amir', 'Hassan', 'Assef', 'Bába', 'Sohrab', 'Soraya', 'Rahim Khan']",371,Riverhead Books,05/29/03,"['Borders Original Voices Award for Fiction (2003)', ""Humo's Gouden Bladwijzer (2008)"", 'Exclusive Books Boeke Prize (2004)', 'ALA Alex Award (2004)', 'Puddly Award for Fiction (2006)', 'Lincoln Award Nominee (2006)', 'Prix des libraires du Québec for Lauréats hors Québec (2006)', 'LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)']"
